Z,Z,X,Y,Y,Y,S,X,X,X,X,X,X,X,S,X,X,X,X,X,X,X,X,X,P,X,X,X,X,X,X,X,P,X,P,Y,Y,Y
Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z
X,Y,Y,Y,P,X,S,X,P,X,X,X,P,X,S,X,P,X,X,X,P,X,S,X,P,X,X,X,X,X,P,X,P,X,P,Y,Y,Y
Z,Z,Z,P,X,Z,Z,P,X,Z,Z,P,X,Z,Z,P,X,Z,Z,P,X,S,X,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z
X,Y,Y,Y,P,X,P,X,P,X,P,X,P,X,S,X,P,X,S,X,P,X,S,X,S,X,X,X,S,X,P,X,P,Y,Y,Y,Z,Z
Z,Z,Z,Z,Z,P,X,Z,Z,P,X,Z,Z,S,X,Z,Z,S,X,Z,Z,Z,Z,S,X,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,X,Y,Y,Y,P,X,P,X,P,X,P,X,S,X,X,X,S,X,X,X,X,X,S,X,P,X,S,X,P,Y,Y,Y,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,X,Y,Y,Y,P,X,P,X,P,X,X,X,S,X,X,X,X,X,X,X,S,X,P,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,S,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,X,Y,Y,Y,P,X,X,X,X,X,S,X,P,X,X,X,X,X,S,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,X,Y,Y,Y,P,X,P,Y,Y,Y,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
