,,,,,X,,X,Y,Y,,X,Y,Y,Y,S,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Y,Y,,,Y,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Y,X,,X,Y,Y,Y,Y,Y,S,Y,Y,Y,Y,Y,X,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,,,,Y,Y,,,,Y,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,,X,Y,,Y,Y,Y,S,Y,X,X,X,X,X,Y,S,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,X,,Y,,Y,,S,X,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,Y,,Y,S,Y,X,X,S,X,X,X,X,X,X,X,S,Y,X,X,S,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,,,,Y,,S,X,,,,,,,,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,Y,S,X,S,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,S,Y,X,X,S,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,,,,S,X,,,,,,,,,,,,,,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y,Y,Y,S,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,Y,Y,Y,Y,Y,S,X,X,Y,X,X,S,Y,Y,Y,,,,,,,,,,,,,,,,,,,,
Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,S,X,,,,,,,,,,,,,,,,,,,,,,,
Y,X,X,S,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,S,Y,Y,Y,Y,Y,S,X,X,Y,X,X,S,Y,Y,Y,,,,,,,,,,,,,,
P,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,Y,,S,X,,,,,,,,,,,,Y,,,,,
Y,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,X,X,X,X,S,Y,Y,Y,Y,Y,S,X,X,Y,X,X,S,Y,Y,Y,,,Y,,,Y,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,Y,,S,X,,,,,,Y,,,Y,,
Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,X,X,X,X,S,Y,Y,Y,Y,Y,S,X,X,Y,X,X,S,,,Y,,Y
X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,Y,,S,X,,,X,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,S,X,X,X,X,X,S,Y,Y,Y,Y,Y,S,X,X,Y,,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,,,,,,Y,,X
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,S,X,X,X,X,X,S,Y,Y,Y,Y,Y
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,S,X,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,,,X,Y,Y,Y,S,Y,Y,Y,,
