,,X,X,X,,,,,,X,X,X,X,X,X,,,X,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,,X,S,X,X,X,X,X,,,,,X,X,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Y,,S,X,,,,,,,,,,Z,S,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,X,Y,,X,S,X,X,X,X,X,,,,,X,X,S,X,,,,,X,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,
,,,,X,,,,,,X,Y,Y,Y,Y,Y,,,X,Y,Y,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,
,Y,Y,X,X,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,
X,Y,,,,,,,,,X,X,X,Y,X,X,Z,Z,X,X,X,Y,X,X,,,X,Y,Y,Y,,,,,,,,,,,,,,,,,,,
,,Y,Y,Y,Y,Y,X,X,S,X,,,,,X,X,X,X,,,,,X,X,S,X,,,,,,,,,,,,,,,,,,,,Y,,
,,X,,Y,,,,S,X,,,,,,,,,,,,,,,S,X,,,,,,,,,,,,,,,,,,,,,Y,,
,,Y,,Y,X,X,X,X,S,X,,,,,X,X,X,X,,,,,X,X,S,X,,,,,,,,,X,Y,Y,Y,,,,,,,,Y,,
,,Y,,X,,,,,,X,X,X,X,X,X,Z,Z,X,X,X,X,X,X,,,X,X,X,Y,X,X,X,X,S,X,,,,,,,,,,,X,,
,,Y,,X,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,S,X,,,,,,,,,,,,X,,
,,X,,X,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,Y,Y,X,X,S,X,,,,,X,X,X,X,,,X,,
,,,,X,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,,,,,,,,,X,X,X,Y,X,X,,,X,X,X,Y,,
,,,,P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,Y,,
,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,Y,Y,,,X,Y,Y,Y,,Y
,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,,,,,X,X,S,X,,,Y,,Y
,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S,X,,,,Y,X,Y
,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,S,,,,,,
,,,X,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,Y,Y,Y,,X,X,Y,Y,Y,,
