Z,Z,Z,X,Y,Y,Y,Z,Z,X,X,X,X,Z,Z,X,X,P,X,Z,Z,Z
Z,Z,Z,Z,Z,Z,X,X,P,X,Z,Z,X,X,P,X,Z,Z,X,Y,Y,Y
Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z
X,Y,Y,Y,Z,Z,X,X,P,X,Z,Z,X,X,P,X,Z,Z,X,Y,Y,Y
Z,Z,Z,X,X,S,X,Z,Z,X,X,P,X,Z,Z,X,X,P,X,Z,Z,Z
Z,Z,Z,Z,S,X,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,X,X,S,X,Z,Z,X,X,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z
X,Y,Y,Y,Z,Z,X,X,P,X,Z,Z,X,Y,Y,Y,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,Z,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
Z,Z,Z,Z,Z,Z,X,X,P,X,Z,Z,X,Y,Y,Y,Z,Z,Z,Z,Z,Z
Z,Z,Z,X,Y,Y,Y,Z,Z,X,X,P,X,Z,Z,Z,Z,Z,Z,Z,Z,Z
